ID	Ubication	Level	Zone
AB1460	c3k65	Small	B
AB1461	c3k66	Small	B
AB1462	c3k67	Small	B
AB1463	c3k68	Small	B
AB1464	c3k69	Small	B
AB1465	c3k70	Small	B
AB1466	c3k71	Small	B
AB1467	c3k72	Small	B
AB1468	c3k73	Small	B
AB1469	c3k74	Small	B
AB147	c3k75	Small	B
AB1470	c3k76	Small	B
AB1471	c3k77	Small	B
AB1472	c3k78	Small	B
AB1473	c3k79	Small	B
AB1474	c3k80	Small	B
AB1475	c3k81	Small	B
AB1476	c3k82	Small	B
AB1477	c3k83	Small	B
AB1478	c3k84	Small	B
AB1479	c3k85	Small	B
AB148	c3k86	Small	B
AB1480	c3k87	Small	B
AB1481	c3k88	Small	B
AB1482	c3k89	Small	B
AB1483	c3k90	Small	B
AB1484	c3k91	Small	B
AB1485	c3k92	Small	B
AB1486	c3k93	Small	B
AB1487	c3k94	Small	B
AB1488	c3k95	Small	B
AB1489	c3k96	Small	B
AB149	c3k97	Small	B
AB1490	c3k98	Small	B
AB1491	c3k99	Small	B
AB1492	c4k1	Small	B
AB1493	c4k2	Small	B
AB1494	c4k3	Small	B
AB1495	c4k4	Small	B
AB1496	c4k5	Small	B
AB1497	c4k6	Small	B
AB1498	c4k7	Small	B
AB1499	c4k8	Small	B
AB150	c4k9	Small	B
AB1500	c4k10	Small	B
AB1501	c4k11	Small	B
AB1502	c4k12	Small	B
AB1503	c4k13	Small	B
AB1504	c4k14	Small	B
AB1505	c4k15	Small	B
AB1506	c4k16	Small	B
AB1507	c4k17	Small	B
AB1508	c4k18	Small	B
AB1509	c4k19	Small	B
AB151	c4k20	Small	B
AB1510	c4k21	Small	B
AB1511	c4k22	Small	B
AB1512	c4k23	Small	B
AB1513	c4k24	Small	B
AB1514	c4k25	Small	B
AB1515	c4k26	Small	B
AB1516	c4k27	Small	B
AB1517	c4k28	Small	B
AB1518	c4k29	Small	B
AB1519	c4k30	Small	B
AB152	c4k31	Small	B
AB1520	c4k32	Small	B
AB1521	c4k33	Small	B
AB1522	c4k34	Small	B
AB1523	c4k35	Small	B
AB1524	c4k36	Small	B
AB1525	c4k37	Small	B
AB1526	c4k38	Small	B
AB1527	c4k39	Small	B
AB1528	c4k40	Small	B
AB1529	c4k41	Small	B
AB153	c4k42	Small	B
AB1530	c4k43	Small	B
AB1531	c4k44	Small	B
AB1532	c4k45	Small	B
AB1533	c4k46	Small	B
AB1534	c4k47	Small	B
AB1535	c4k48	Small	B
AB1536	c4k49	Small	B
AB1537	c4k50	Small	B
AB1538	c4k51	Small	B
AB1539	c4k52	Small	B
AB154	c4k53	Small	B
AB1540	c4k54	Small	B
AB1541	c4k55	Small	B
AB1542	c4k56	Small	B
AB1543	c4k57	Small	B
AB1544	c4k58	Small	B
AB1545	c4k59	Small	B
AB1546	c4k60	Small	B
AB1547	c4k61	Small	B
AB1548	c4k62	Small	B
AB1549	c4k63	Small	B
AB155	c4k64	Small	B
AB1550	c4k65	Small	B
AB1551	c4k66	Small	B
AB1552	c4k67	Small	B
AB1553	c4k68	Small	B
AB1554	c4k69	Small	B
AB1555	c4k70	Small	B
AB1556	c4k71	Small	B
AB1557	c4k72	Small	B
AB1558	c4k73	Small	B
AB1559	c4k74	Small	B
AB156	c4k75	Small	B
AB1560	c4k76	Small	B
AB1561	c4k77	Small	B
AB1562	c4k78	Small	B
AB1563	c4k79	Small	B
AB1564	c4k80	Small	B
AB1565	c4k81	Small	B
AB1566	c4k82	Small	B
AB1567	c4k83	Small	B
AB1568	c4k84	Small	B
AB1569	c4k85	Small	B
AB157	c4k86	Small	B
AB1570	c4k87	Small	B
AB1571	c4k88	Small	B
AB1572	c4k89	Small	B
AB1573	c4k90	Small	B
AB1574	c4k91	Small	B
AB1575	c4k92	Small	B
AB1576	c4k93	Small	B
AB1577	c4k94	Small	B
AB1578	c4k95	Small	B
AB1579	c4k96	Small	B
AB158	c4k97	Small	B
AB1580	c4k98	Small	B
AB1581	c4k99	Small	B
AB1582	c5k1	Small	B
AB1583	c5k2	Small	B
AB1584	c5k3	Small	B
AB1585	c5k4	Small	B
AB1586	c5k5	Small	B
AB1587	c5k6	Small	B
AB1588	c5k7	Small	B
AB1589	c5k8	Small	B
AB159	c5k9	Small	B
AB1590	c5k10	Small	B
AB1591	c5k11	Small	B
AB1592	c5k12	Small	B
AB1593	c5k13	Small	B
AB1594	c5k14	Small	B
AB1595	c5k15	Small	B
AB1596	c5k16	Small	B
AB1597	c5k17	Small	B
AB1598	c5k18	Small	B
AB1599	c5k19	Small	B
AB160	c5k20	Small	B
AB1600	c5k21	Small	B
AB1601	c5k22	Small	B
AB1602	c5k23	Small	B
AB1603	c5k24	Small	B
AB1604	c5k25	Small	B
AB1605	c5k26	Small	B
AB1606	c5k27	Small	B
AB1607	c5k28	Small	B
AB1608	c5k29	Small	B
AB1609	c5k30	Small	B
AB161	c5k31	Small	B
AB1610	c5k32	Small	B
AB1611	c5k33	Small	B
AB1612	c5k34	Small	B
AB1613	c5k35	Small	B
AB1614	c5k36	Small	B
AB1615	c5k37	Small	B
AB1616	c5k38	Small	B
AB1617	c5k39	Small	B
AB1618	c5k40	Small	B
AB1619	c5k41	Small	B
AB162	c5k42	Small	B
AB1620	c5k43	Small	B
AB1621	c5k44	Small	B
AB1622	c5k45	Small	B
AB1623	c5k46	Small	B
AB1624	c5k47	Small	B
AB1625	c5k48	Small	B
AB1626	c5k49	Small	B
AB1627	c5k50	Small	B
AB1628	c5k51	Small	B
AB1629	c5k52	Small	B
AB163	c5k53	Small	B
AB1630	c5k54	Small	B
AB1631	c5k55	Small	B
AB1632	c5k56	Small	B
AB1633	c5k57	Small	B
AB1634	c5k58	Small	B
AB1635	c5k59	Small	B
AB1636	c5k60	Small	B
AB1637	c5k61	Small	B
AB1638	c5k62	Small	B
AB1639	c5k63	Small	B
AB164	c5k64	Small	B
AB1640	c5k65	Small	B
AB1641	c5k66	Small	B
AB1642	c5k67	Small	B
AB1643	c5k68	Small	B
AB1644	c5k69	Small	B
AB1645	c5k70	Small	B
AB1646	c5k71	Small	B
AB1647	c5k72	Small	B
AB1648	c5k73	Small	B
AB1649	c5k74	Small	B
AB165	c5k75	Small	B
AB1650	c5k76	Small	B
AB1651	c5k77	Small	B
AB1652	c5k78	Small	B
AB1653	c5k79	Small	B
AB1654	c5k80	Small	B
AB1655	c5k81	Small	B
AB1656	c5k82	Small	B
AB1657	c5k83	Small	B
AB1658	c5k84	Small	B
AB1659	c5k85	Small	B
AB166	c5k86	Small	B
AB1660	c5k87	Small	B
AB1661	c5k88	Small	B
AB1662	c5k89	Small	B
AB1663	c5k90	Small	B
AB1664	c5k91	Small	B
AB1665	c5k92	Small	B
AB1666	c5k93	Small	B
AB1667	c5k94	Small	B
AB1668	c5k95	Small	B
AB1669	c5k96	Small	B
AB167	c5k97	Small	B
AB1670	c5k98	Small	B
AB1671	c5k99	Small	B
AB1672	c6k1	Small	B
AB1673	c6k2	Small	B
AB1674	c6k3	Small	B
AB1675	c6k4	Small	B
AB1676	c6k5	Small	B
AB1677	c6k6	Small	B
AB1678	c6k7	Small	B
AB1679	c6k8	Small	B
AB168	c6k9	Small	B
AB1680	c6k10	Small	B
AB1681	c6k11	Small	B
AB1682	c6k12	Small	B
AB1683	c6k13	Small	B
AB1684	c6k14	Small	B
AB1685	c6k15	Small	B
AB1686	c6k16	Small	B
AB1687	c6k17	Small	B
AB1688	c6k18	Small	B
AB1689	c6k19	Small	B
AB169	c6k20	Small	B
AB1690	c6k21	Small	B
AB1691	c6k22	Small	B
AB1692	c6k23	Small	B
AB1693	c6k24	Small	B
AB1694	c6k25	Small	B
AB1695	c6k26	Small	B
AB1696	c6k27	Small	B
AB1697	c6k28	Small	B
AB1698	c6k29	Small	B
AB1699	c6k30	Small	B
AB170	c6k31	Small	B
AB1700	c6k32	Small	B
AB1701	c6k33	Small	B
AB1702	c6k34	Small	B
AB1703	c6k35	Small	B
AB1704	c6k36	Small	B
AB1705	c6k37	Small	B
AB1706	c6k38	Small	B
AB1707	c6k39	Small	B
AB1708	c6k40	Small	B
AB1709	c6k41	Small	B
AB171	c6k42	Small	B
AB1710	c6k43	Small	B
AB1711	c6k44	Small	B
AB1712	c6k45	Small	B
AB1713	c6k46	Small	B
AB1714	c6k47	Small	B
AB1715	c6k48	Small	B
AB1716	c6k49	Small	B
AB1717	c6k50	Small	B
AB1718	c6k51	Small	B
AB1719	c6k52	Small	B
AB172	c6k53	Small	B
AB1720	c6k54	Small	B
AB1721	c6k55	Small	B
AB1722	c6k56	Small	B
AB1723	c6k57	Small	B
AB1724	c6k58	Small	B
AB1725	c6k59	Small	B
AB1726	c6k60	Small	B
AB1727	c6k61	Small	B
AB1728	c6k62	Small	B
AB1729	c6k63	Small	B
AB173	c6k64	Small	B
AB1730	c6k65	Small	B
AB1731	c6k66	Small	B
AB1732	c6k67	Small	B
AB1733	c6k68	Small	B
AB1734	c6k69	Small	B
AB1735	c6k70	Small	B
AB1736	c6k71	Small	B
AB1737	c6k72	Small	B
AB1738	c6k73	Small	B
AB1739	c6k74	Small	B
AB174	c6k75	Small	B
AB1740	c6k76	Small	B
AB1741	c6k77	Small	B
AB1742	c6k78	Small	B
AB1743	c6k79	Small	B
AB1744	c6k80	Small	B
AB1745	c6k81	Small	B
AB1746	c6k82	Small	B
AB1747	c6k83	Small	B
AB1748	c6k84	Small	B
AB1749	c6k85	Small	B
AB175	c6k86	Small	B
AB1750	c6k87	Small	B
AB1751	c6k88	Small	B
AB1752	c6k89	Small	B
AB1753	c6k90	Small	B
AB1754	c6k91	Small	B
AB1755	c6k92	Small	B
AB1756	c6k93	Small	B
AB1757	c6k94	Small	B
AB1758	c6k95	Small	B
AB1759	c6k96	Small	B
AB176	c6k97	Small	B
AB1760	c6k98	Small	B
AB1761	c6k99	Small	B
AB1762	c7k1	Small	B
AB1763	c7k2	Small	B
AB1764	c7k3	Small	B
AB1765	c7k4	Small	B
AB1766	c7k5	Small	B
AB1767	c7k6	Small	B
AB1768	c7k7	Small	B
AB1769	c7k8	Small	B
AB177	c7k9	Small	B
AB1770	c7k10	Small	B
AB1771	c7k11	Small	B
AB1772	c7k12	Small	B
AB1773	c7k13	Small	B
AB1774	c7k14	Small	B
AB1775	c7k15	Small	B
AB1776	c7k16	Small	B
AB1777	c7k17	Small	B
AB1778	c7k18	Small	B
AB1779	c7k19	Small	B
AB178	c7k20	Small	B
AB1780	c7k21	Small	B
AB1781	c7k22	Small	B
AB1782	c7k23	Small	B
AB1783	c7k24	Small	B
AB1784	c7k25	Small	B
AB1785	c7k26	Small	B
AB1786	c7k27	Small	B
AB1787	c7k28	Small	B
AB1788	c7k29	Small	B
AB1789	c7k30	Small	B
AB179	c7k31	Small	B
AB1790	c7k32	Small	B
AB1791	c7k33	Small	B
AB1792	c7k34	Small	B
AB1793	c7k35	Small	B
AB1794	c7k36	Small	B
AB1795	c7k37	Small	B
AB1796	c7k38	Small	B
AB1797	c7k39	Small	B
AB1798	c7k40	Small	B
AB1799	c7k41	Small	B
AB180	c7k42	Small	B
AB1800	c7k43	Small	B
AB1801	c7k44	Small	B
AB1802	c7k45	Small	B
AB1803	c7k46	Small	B
AB1804	c7k47	Small	B
AB1805	c7k48	Small	B
AB1806	c7k49	Small	B
AB1807	c7k50	Small	B
AB1808	c7k51	Small	B
AB1809	c7k52	Small	B
AB181	c7k53	Small	B
AB1810	c7k54	Small	B
AB1811	c7k55	Small	B
AB1812	c7k56	Small	B
AB1813	c7k57	Small	B
AB1814	c7k58	Small	B
AB1815	c7k59	Small	B
AB1816	c7k60	Small	B
AB1817	c7k61	Small	B
AB1818	c7k62	Small	B
AB1819	c7k63	Small	B
AB182	c7k64	Small	B
AB1820	c7k65	Small	B
AB1821	c7k66	Small	B
AB1822	c7k67	Small	B
AB1823	c7k68	Small	B
AB1824	c7k69	Small	B
AB1825	c7k70	Small	B
AB1826	c7k71	Small	B
AB1827	c7k72	Small	B
AB1828	c7k73	Small	B
AB1829	c7k74	Small	B
AB183	c7k75	Small	B
AB1830	c7k76	Small	B
AB1831	c7k77	Small	B
AB1832	c7k78	Small	B
AB1833	c7k79	Small	B
AB1834	c7k80	Small	B
AB1835	c7k81	Small	B
AB1836	c7k82	Small	B
AB1837	c7k83	Small	B
AB1838	c7k84	Small	B
AB1839	c7k85	Small	B
AB184	c7k86	Small	B
AB1840	c7k87	Small	B
AB1841	c7k88	Small	B
AB1842	c7k89	Small	B
AB1843	c7k90	Small	B
AB1844	c7k91	Small	B
AB1845	c7k92	Small	B
AB1846	c7k93	Small	B
AB1847	c7k94	Small	B
AB1848	c7k95	Small	B
AB1849	c7k96	Small	B
AB185	c7k97	Small	C
AB1850	c7k98	Small	C
AB1851	c7k99	Small	C
AB1852	c8k1	Small	C
AB1853	c8k2	Small	C
AB1854	c8k3	Small	C
AB1855	c8k4	Small	C
AB1856	c8k5	Small	C
AB1857	c8k6	Small	C
AB1858	c8k7	Small	C
AB1859	c8k8	Small	C
AB186	c8k9	Small	C
AB1860	c8k10	Small	C
AB1861	c8k11	Small	C
AB1862	c8k12	Small	C
AB1863	c8k13	Small	C
AB1864	c8k14	Small	C
AB1865	c8k15	Small	C
AB1866	c8k16	Small	C
AB1867	c8k17	Small	C
AB1868	c8k18	Small	C
AB1869	c8k19	Small	C
AB187	c8k20	Small	C
AB1870	c8k21	Small	C
AB1871	c8k22	Small	C
AB1872	c8k23	Small	C
AB1873	c8k24	Small	C
AB1874	c8k25	Small	C
AB1875	c8k26	Small	C
AB1876	c8k27	Small	C
AB1877	c8k28	Small	C
AB1878	c8k29	Small	C
AB1879	c8k30	Small	C
AB188	c8k31	Small	C
AB1880	c8k32	Small	C
AB1881	c8k33	Small	C
AB1882	c8k34	Small	C
AB1883	c8k35	Small	C
AB1884	c8k36	Small	C
AB1885	c8k37	Small	C
AB1886	c8k38	Small	C
AB1887	c8k39	Small	C
AB1888	c8k40	Small	C
AB1889	c8k41	Small	C
AB189	c8k42	Small	C
AB1890	c8k43	Small	C
AB1891	c8k44	Small	C
AB1892	c8k45	Small	C
AB1893	c8k46	Small	C
AB1894	c8k47	Small	C
AB1895	c8k48	Small	C
AB1896	c8k49	Small	C
AB1897	c8k50	Small	C
AB1898	c8k51	Small	C
AB1899	c8k52	Small	C
AB190	c8k53	Small	C
AB1900	c8k54	Small	C
AB1901	c8k55	Small	C
AB1902	c8k56	Small	C
AB1903	c8k57	Small	C
AB1904	c8k58	Small	C
AB1906	c8k59	Small	C
AB1907	c8k60	Small	C
AB1909	c8k61	Small	C
AB191	c8k62	Small	C
AB1910	c8k63	Small	C
AB1911	c8k64	Small	C
AB1912	c8k65	Small	C
AB1913	c8k66	Small	C
AB1914	c8k67	Small	C
AB1915	c8k68	Small	C
AB1916	c8k69	Small	C
AB1917	c8k70	Small	C
AB1918	c8k71	Small	C
AB1919	c8k72	Small	C
AB192	c8k73	Small	C
AB1920	c8k74	Small	C
AB1921	c8k75	Small	C
AB1922	c8k76	Small	C
AB1923	c8k77	Small	C
AB1924	c8k78	Small	C
AB1926	c8k79	Small	C
AB1927	c8k80	Small	C
AB1928	c8k81	Small	C
AB1929	c8k82	Small	C
AB193	c8k83	Small	C
AB1930	c8k84	Small	C
AB1931	c8k85	Small	C
AB1932	c8k86	Small	C
AB1933	c8k87	Small	C
AB1934	c8k88	Small	C
AB1936	c8k89	Small	C
AB1937	c8k90	Small	C
AB1938	c8k91	Small	C
AB1939	c8k92	Small	C
AB194	c8k93	Small	C
AB1940	c8k94	Small	C
AB1943	c8k95	Small	C
AB1944	c8k96	Small	C
AB1945	c8k97	Small	C
AB1946	c8k98	Small	C
AB1947	c8k99	Small	C
AB1948	c9k1	Small	C
AB1949	c9k2	Small	C
AB195	c9k3	Small	C
AB1950	c9k4	Small	C
AB1951	c9k5	Small	C
AB1952	c9k6	Small	C
AB1953	c9k7	Small	C
AB1954	c9k8	Small	C
AB1955	c9k9	Small	C
AB1956	c9k10	Small	C
AB1957	c9k11	Small	C
AB1958	c9k12	Small	C
AB196	c9k13	Small	C
AB1960	c9k14	Small	C
AB1961	c9k15	Small	C
AB1962	c9k16	Small	C
AB1963	c9k17	Small	C
AB1964	c9k18	Small	C
AB1965	c9k19	Small	C
AB1966	c9k20	Small	C
AB1967	c9k21	Small	C
AB1968	c9k22	Small	C
AB1969	c9k23	Small	C
AB197	c9k24	Small	C
AB1970	c9k25	Small	C
AB1971	c9k26	Small	C
AB1972	c9k27	Small	C
AB1973	c9k28	Small	C
AB1974	c9k29	Small	C
AB1975	c9k30	Small	C
AB1976	c9k31	Small	C
AB1977	c9k32	Small	C
AB1978	c9k33	Small	C
AB1979	c9k34	Small	C
AB198	c9k35	Small	C
AB1980	c9k36	Small	C
AB1981	c9k37	Small	C
AB1982	c9k38	Small	C
AB1983	c9k39	Small	C
AB1984	c9k40	Small	C
AB1985	c9k41	Small	C
AB1986	c9k42	Small	C
AB1988	c9k43	Small	C
AB1989	c9k44	Small	C
AB199	c9k45	Small	C
AB1990	c9k46	Small	C
AB1991	c9k47	Small	C
AB1992	c9k48	Small	C
AB1993	c9k49	Small	C
AB1994	c9k50	Small	C
AB1995	c9k51	Small	C
AB1996	c9k52	Small	C
AB1997	c9k53	Small	C
AB1998	c9k54	Small	C
AB1999	c9k55	Small	C
AB200	c9k56	Small	C
AB2000	c9k57	Small	C
AB2001	c9k58	Small	C
AB2002	c9k59	Small	C
AB2003	c9k60	Small	C
AB2005	c9k61	Small	C
AB2006	c9k62	Small	C
AB2007	c9k63	Small	C
AB2008	c9k64	Small	C
AB2009	c9k65	Small	C
AB201	c9k66	Small	C
AB2010	c9k67	Small	C
AB2011	c9k68	Small	C
AB2016	c9k69	Small	C
AB2017	c9k70	Small	C
AB2018	c9k71	Small	C
AB202	c9k72	Small	C
AB2021	c9k73	Small	C
AB2022	c9k74	Small	C
AB2023	c9k75	Small	C
AB2024	c9k76	Small	C
AB2025	c9k77	Small	C
AB2026	c9k78	Small	C
AB2027	c9k79	Small	C
AB2028	c9k80	Small	C
AB203	c9k81	Small	C
AB2030	c9k82	Small	C
AB2032	c9k83	Small	C
AB2033	c9k84	Small	C
AB2034	c9k85	Small	C
AB2035	c9k86	Small	C
AB2036	c9k87	Small	C
AB2037	c9k88	Small	C
AB2038	c9k89	Small	C
AB2039	c9k90	Small	C
AB204	c9k91	Small	C
AB2040	c9k92	Small	C
AB2041	c9k93	Small	C
AB2043	c9k94	Small	C
AB2044	c9k95	Small	C
AB2045	c9k96	Small	C
AB2047	c9k97	Small	C
AB2049	c9k98	Small	C
AB205	c9k99	Small	C
AB2050	c10k1	Small	C
AB2053	c10k2	Small	C
AB2054	c10k3	Small	C
AB2055	c10k4	Small	C
AB2056	c10k5	Small	C
AB2058	c10k6	Small	C
AB2059	c10k7	Small	C
AB206	c10k8	Small	C
AB2060	c10k9	Small	C
AB2062	c10k10	Small	C
AB2063	c10k11	Small	C
AB2064	c10k12	Small	C
AB2065	c10k13	Small	C
AB2066	c10k14	Small	C
AB2068	c10k15	Small	C
AB2069	c10k16	Small	C
AB207	c10k17	Small	C
AB2070	c10k18	Small	C
AB2071	c10k19	Small	C
AB2072	c10k20	Small	C
AB2073	c10k21	Small	C
AB2074	c10k22	Small	C
AB2075	c10k23	Small	C
AB2076	c10k24	Small	C
AB2077	c10k25	Small	C
AB2078	c10k26	Small	C
AB208	c10k27	Small	C
AB2080	c10k28	Small	C
AB2081	c10k29	Small	C
AB2082	c10k30	Small	C
AB2084	c10k31	Small	C
AB2085	c10k32	Small	C
AB2088	c10k33	Small	C
AB2089	c10k34	Small	C
AB209	c10k35	Small	C
AB2090	c10k36	Small	C
AB2092	c10k37	Small	C
AB2093	c10k38	Small	C
AB2094	c10k39	Small	C
AB2095	c10k40	Small	C
AB2097	c10k41	Small	C
AB2098	c10k42	Small	C
AB2099	c10k43	Small	C
AB210	c10k44	Small	C
AB2100	c10k45	Small	C
AB2101	c10k46	Small	C
AB2102	c10k47	Small	C
AB2103	c10k48	Small	C
AB2104	c10k49	Small	C
AB2105	c10k50	Small	C
AB2107	c10k51	Small	C
AB2108	c10k52	Small	C
